subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Operating Systems,long_answer,easy,Evaluated Operating Systems Question #40: What is the primary characteristic of Operating Systems concept #40?,,Expected core concept,Model solution explaining Operating Systems principles for question #40.,1
Operating Systems,mcq,medium,Evaluated Operating Systems Question #41: What is the primary characteristic of Operating Systems concept #41?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,multi_select,hard,Evaluated Operating Systems Question #42: What is the primary characteristic of Operating Systems concept #42?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,short_answer,easy,Evaluated Operating Systems Question #43: What is the primary characteristic of Operating Systems concept #43?,,Expected core concept,Model solution explaining Operating Systems principles for question #43.,1
Operating Systems,long_answer,medium,Evaluated Operating Systems Question #44: What is the primary characteristic of Operating Systems concept #44?,,Expected core concept,Model solution explaining Operating Systems principles for question #44.,2
Operating Systems,mcq,hard,Evaluated Operating Systems Question #45: What is the primary characteristic of Operating Systems concept #45?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,multi_select,easy,Evaluated Operating Systems Question #46: What is the primary characteristic of Operating Systems concept #46?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,short_answer,medium,Evaluated Operating Systems Question #47: What is the primary characteristic of Operating Systems concept #47?,,Expected core concept,Model solution explaining Operating Systems principles for question #47.,2
Operating Systems,long_answer,hard,Evaluated Operating Systems Question #48: What is the primary characteristic of Operating Systems concept #48?,,Expected core concept,Model solution explaining Operating Systems principles for question #48.,3
Operating Systems,mcq,easy,Evaluated Operating Systems Question #49: What is the primary characteristic of Operating Systems concept #49?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,multi_select,medium,Evaluated Operating Systems Question #50: What is the primary characteristic of Operating Systems concept #50?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,short_answer,hard,Evaluated Operating Systems Question #51: What is the primary characteristic of Operating Systems concept #51?,,Expected core concept,Model solution explaining Operating Systems principles for question #51.,3
Operating Systems,long_answer,easy,Evaluated Operating Systems Question #52: What is the primary characteristic of Operating Systems concept #52?,,Expected core concept,Model solution explaining Operating Systems principles for question #52.,1
Operating Systems,mcq,medium,Evaluated Operating Systems Question #53: What is the primary characteristic of Operating Systems concept #53?,"Option A, Option B, Option C, Option D",Option A,,2
Operating Systems,multi_select,hard,Evaluated Operating Systems Question #54: What is the primary characteristic of Operating Systems concept #54?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,short_answer,easy,Evaluated Operating Systems Question #55: What is the primary characteristic of Operating Systems concept #55?,,Expected core concept,Model solution explaining Operating Systems principles for question #55.,1
Operating Systems,long_answer,medium,Evaluated Operating Systems Question #56: What is the primary characteristic of Operating Systems concept #56?,,Expected core concept,Model solution explaining Operating Systems principles for question #56.,2
Operating Systems,mcq,hard,Evaluated Operating Systems Question #57: What is the primary characteristic of Operating Systems concept #57?,"Option A, Option B, Option C, Option D",Option A,,3
Operating Systems,multi_select,easy,Evaluated Operating Systems Question #58: What is the primary characteristic of Operating Systems concept #58?,"Option A, Option B, Option C, Option D",Option A,,1
Operating Systems,short_answer,medium,Evaluated Operating Systems Question #59: What is the primary characteristic of Operating Systems concept #59?,,Expected core concept,Model solution explaining Operating Systems principles for question #59.,2
Operating Systems,long_answer,hard,Evaluated Operating Systems Question #60: What is the primary characteristic of Operating Systems concept #60?,,Expected core concept,Model solution explaining Operating Systems principles for question #60.,3
