subject,question_type,difficulty,text,options,expected_answer,model_answer,marks
Database Management Systems (DBMS),short_answer,hard,Evaluated Database Management Systems (DBMS) Question #15: What is the primary characteristic of Database Management Systems (DBMS) concept #15?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #15.,3
Database Management Systems (DBMS),long_answer,easy,Evaluated Database Management Systems (DBMS) Question #16: What is the primary characteristic of Database Management Systems (DBMS) concept #16?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #16.,1
Database Management Systems (DBMS),mcq,medium,Evaluated Database Management Systems (DBMS) Question #17: What is the primary characteristic of Database Management Systems (DBMS) concept #17?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),multi_select,hard,Evaluated Database Management Systems (DBMS) Question #18: What is the primary characteristic of Database Management Systems (DBMS) concept #18?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),short_answer,easy,Evaluated Database Management Systems (DBMS) Question #19: What is the primary characteristic of Database Management Systems (DBMS) concept #19?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #19.,1
Database Management Systems (DBMS),long_answer,medium,Evaluated Database Management Systems (DBMS) Question #20: What is the primary characteristic of Database Management Systems (DBMS) concept #20?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #20.,2
Database Management Systems (DBMS),mcq,hard,Evaluated Database Management Systems (DBMS) Question #21: What is the primary characteristic of Database Management Systems (DBMS) concept #21?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),multi_select,easy,Evaluated Database Management Systems (DBMS) Question #22: What is the primary characteristic of Database Management Systems (DBMS) concept #22?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),short_answer,medium,Evaluated Database Management Systems (DBMS) Question #23: What is the primary characteristic of Database Management Systems (DBMS) concept #23?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #23.,2
Database Management Systems (DBMS),long_answer,hard,Evaluated Database Management Systems (DBMS) Question #24: What is the primary characteristic of Database Management Systems (DBMS) concept #24?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #24.,3
Database Management Systems (DBMS),mcq,easy,Evaluated Database Management Systems (DBMS) Question #25: What is the primary characteristic of Database Management Systems (DBMS) concept #25?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),multi_select,medium,Evaluated Database Management Systems (DBMS) Question #26: What is the primary characteristic of Database Management Systems (DBMS) concept #26?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),short_answer,hard,Evaluated Database Management Systems (DBMS) Question #27: What is the primary characteristic of Database Management Systems (DBMS) concept #27?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #27.,3
Database Management Systems (DBMS),long_answer,easy,Evaluated Database Management Systems (DBMS) Question #28: What is the primary characteristic of Database Management Systems (DBMS) concept #28?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #28.,1
Database Management Systems (DBMS),mcq,medium,Evaluated Database Management Systems (DBMS) Question #29: What is the primary characteristic of Database Management Systems (DBMS) concept #29?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),multi_select,hard,Evaluated Database Management Systems (DBMS) Question #30: What is the primary characteristic of Database Management Systems (DBMS) concept #30?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),short_answer,easy,Evaluated Database Management Systems (DBMS) Question #31: What is the primary characteristic of Database Management Systems (DBMS) concept #31?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #31.,1
Database Management Systems (DBMS),long_answer,medium,Evaluated Database Management Systems (DBMS) Question #32: What is the primary characteristic of Database Management Systems (DBMS) concept #32?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #32.,2
Database Management Systems (DBMS),mcq,hard,Evaluated Database Management Systems (DBMS) Question #33: What is the primary characteristic of Database Management Systems (DBMS) concept #33?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),multi_select,easy,Evaluated Database Management Systems (DBMS) Question #34: What is the primary characteristic of Database Management Systems (DBMS) concept #34?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),short_answer,medium,Evaluated Database Management Systems (DBMS) Question #35: What is the primary characteristic of Database Management Systems (DBMS) concept #35?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #35.,2
Database Management Systems (DBMS),long_answer,hard,Evaluated Database Management Systems (DBMS) Question #36: What is the primary characteristic of Database Management Systems (DBMS) concept #36?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #36.,3
Database Management Systems (DBMS),mcq,easy,Evaluated Database Management Systems (DBMS) Question #37: What is the primary characteristic of Database Management Systems (DBMS) concept #37?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),multi_select,medium,Evaluated Database Management Systems (DBMS) Question #38: What is the primary characteristic of Database Management Systems (DBMS) concept #38?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),short_answer,hard,Evaluated Database Management Systems (DBMS) Question #39: What is the primary characteristic of Database Management Systems (DBMS) concept #39?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #39.,3
Database Management Systems (DBMS),long_answer,easy,Evaluated Database Management Systems (DBMS) Question #40: What is the primary characteristic of Database Management Systems (DBMS) concept #40?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #40.,1
Database Management Systems (DBMS),mcq,medium,Evaluated Database Management Systems (DBMS) Question #41: What is the primary characteristic of Database Management Systems (DBMS) concept #41?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),multi_select,hard,Evaluated Database Management Systems (DBMS) Question #42: What is the primary characteristic of Database Management Systems (DBMS) concept #42?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),short_answer,easy,Evaluated Database Management Systems (DBMS) Question #43: What is the primary characteristic of Database Management Systems (DBMS) concept #43?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #43.,1
Database Management Systems (DBMS),long_answer,medium,Evaluated Database Management Systems (DBMS) Question #44: What is the primary characteristic of Database Management Systems (DBMS) concept #44?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #44.,2
Database Management Systems (DBMS),mcq,hard,Evaluated Database Management Systems (DBMS) Question #45: What is the primary characteristic of Database Management Systems (DBMS) concept #45?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),multi_select,easy,Evaluated Database Management Systems (DBMS) Question #46: What is the primary characteristic of Database Management Systems (DBMS) concept #46?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),short_answer,medium,Evaluated Database Management Systems (DBMS) Question #47: What is the primary characteristic of Database Management Systems (DBMS) concept #47?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #47.,2
Database Management Systems (DBMS),long_answer,hard,Evaluated Database Management Systems (DBMS) Question #48: What is the primary characteristic of Database Management Systems (DBMS) concept #48?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #48.,3
Database Management Systems (DBMS),mcq,easy,Evaluated Database Management Systems (DBMS) Question #49: What is the primary characteristic of Database Management Systems (DBMS) concept #49?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),multi_select,medium,Evaluated Database Management Systems (DBMS) Question #50: What is the primary characteristic of Database Management Systems (DBMS) concept #50?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),short_answer,hard,Evaluated Database Management Systems (DBMS) Question #51: What is the primary characteristic of Database Management Systems (DBMS) concept #51?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #51.,3
Database Management Systems (DBMS),long_answer,easy,Evaluated Database Management Systems (DBMS) Question #52: What is the primary characteristic of Database Management Systems (DBMS) concept #52?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #52.,1
Database Management Systems (DBMS),mcq,medium,Evaluated Database Management Systems (DBMS) Question #53: What is the primary characteristic of Database Management Systems (DBMS) concept #53?,"Option A, Option B, Option C, Option D",Option A,,2
Database Management Systems (DBMS),multi_select,hard,Evaluated Database Management Systems (DBMS) Question #54: What is the primary characteristic of Database Management Systems (DBMS) concept #54?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),short_answer,easy,Evaluated Database Management Systems (DBMS) Question #55: What is the primary characteristic of Database Management Systems (DBMS) concept #55?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #55.,1
Database Management Systems (DBMS),long_answer,medium,Evaluated Database Management Systems (DBMS) Question #56: What is the primary characteristic of Database Management Systems (DBMS) concept #56?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #56.,2
Database Management Systems (DBMS),mcq,hard,Evaluated Database Management Systems (DBMS) Question #57: What is the primary characteristic of Database Management Systems (DBMS) concept #57?,"Option A, Option B, Option C, Option D",Option A,,3
Database Management Systems (DBMS),multi_select,easy,Evaluated Database Management Systems (DBMS) Question #58: What is the primary characteristic of Database Management Systems (DBMS) concept #58?,"Option A, Option B, Option C, Option D",Option A,,1
Database Management Systems (DBMS),short_answer,medium,Evaluated Database Management Systems (DBMS) Question #59: What is the primary characteristic of Database Management Systems (DBMS) concept #59?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #59.,2
Database Management Systems (DBMS),long_answer,hard,Evaluated Database Management Systems (DBMS) Question #60: What is the primary characteristic of Database Management Systems (DBMS) concept #60?,,Expected core concept,Model solution explaining Database Management Systems (DBMS) principles for question #60.,3
